リクエストURL
ホスト

https://api.next-engine.org

エンドポイント

/api_v1_master_stock/search

在庫マスタ

項目名,フィールド名,データ型,備考
商品コード,stock_goods_id,文字列型,
在庫数,stock_quantity,数値型,
引当数,stock_allocation_quantity,数値型,
不良在庫数,stock_defective_quantity,数値型,
発注残数,stock_remaining_order_quantity,数値型,
欠品数,stock_out_quantity,数値型,
フリー在庫数,stock_free_quantity,数値型,
予約在庫数,stock_advance_order_quantity,数値型,
予約引当数,stock_advance_order_allocation_quantity,数値型,
予約フリー在庫数,stock_advance_order_free_quantity,数値型,
削除フラグ,stock_deleted_flag,文字列型,
作成日,stock_creation_date,日時型,
最終更新日,stock_last_modified_date,日時型,
最終更新日,stock_last_modified_null_safe_date,日時型,NULLの場合作成日
作成担当者ID,stock_creator_id,数値型,
作成担当者名,stock_creator_name,文字列型,
最終更新者ID,stock_last_modified_by_id,数値型,
最終更新者ID,stock_last_modified_by_null_safe_id,数値型,NULLの場合作成者ID
最終更新者名,stock_last_modified_by_name,文字列型,
最終更新者名,stock_last_modified_by_null_safe_name,文字列型,NULLの場合作成者名
